Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeAboveTerr,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,timeToHome,missionItemIndex,headingToNextWP,distanceToNextWP,headingToHome,distanceToGCS,throttlePct,imuTemp,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,battery1.id,battery1.batteryFunction,battery1.batteryType,battery1.voltage,battery1.current,battery1.mahConsumed,battery1.temperature,battery1.percentRemaining,battery1.timeRemaining,battery1.timeRemainingStr,battery1.chargeState,battery1.instantPower,clock.currentTime,clock.currentUTCTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,efi.health,efi.ecuIndex,efi.rpm,efi.fuelConsumed,efi.fuelFlow,efi.engineLoad,efi.sparkTime,efi.throttlePos,efi.baroPress,efi.intakePress,efi.intakeTemp,efi.cylinderTemp,efi.ignTime,efi.exGasTemp,efi.injTime,efi.throttleOut,efi.ptComp,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,generator.status,generator.genSpeed,generator.batteryCurrent,generator.loadCurrent,generator.powerGenerated,generator.busVoltage,generator.batCurrentSetpoint,generator.rectifierTemp,generator.genTemp,generator.runtime,generator.timeMaintenance,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2024-07-16 09:29:01.977,-1.7,-1.5,262,-0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.894,0.000,0.000,0.000,0.0,00:00:00,0.3,12.6,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.18,0,34,99,1,00H:00M:01S,1,-4.53,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:01,02:29:01,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.02,0.01,0.00,--.--,0.00,0.32,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802490,108.2616675,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.2,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.6,0.1,33.93,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:02.976,-1.7,-1.5,262,-0.0,0.0,-0.0,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.886,0.000,0.000,0.000,0.0,00:00:00,0.3,13.9,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.18,0,34,99,1,00H:00M:01S,1,-4.53,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:02,02:29:02,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.02,0.01,0.00,--.--,0.00,0.32,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802489,108.2616676,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.2,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.6,0.1,33.93,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:03.976,-1.7,-1.5,262,0.0,-0.0,-0.0,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.891,0.000,0.000,0.000,0.0,00:00:00,0.3,14.7,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.18,0,34,99,1,00H:00M:01S,1,-4.53,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:03,02:29:03,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.02,0.01,0.00,--.--,0.00,0.32,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802488,108.2616677,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.2,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,33.93,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:04.976,-1.7,-1.5,262,-0.1,0.0,0.1,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.901,0.000,0.000,0.000,0.0,00:00:00,0.3,14.6,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.18,0,34,99,1,00H:00M:01S,1,-4.53,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:04,02:29:04,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.02,0.01,0.00,--.--,0.00,0.32,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802487,108.2616677,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.3,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:05.976,-1.7,-1.5,262,-0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.894,0.000,0.000,0.000,0.0,00:00:00,0.4,19.7,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.18,0,34,99,1,00H:00M:01S,1,-4.53,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:05,02:29:05,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.02,0.01,0.00,--.--,0.00,0.32,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802487,108.2616678,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.3,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:06.976,-1.7,-1.5,262,0.0,0.0,-0.0,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.882,0.000,0.000,0.000,0.0,00:00:00,0.4,22.7,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.17,1,34,99,1,00H:00M:01S,1,-4.27,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:06,02:29:06,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.01,0.00,--.--,0.00,0.33,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802486,108.2616679,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.3,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.06,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:07.976,-1.7,-1.5,262,-0.1,-0.0,0.0,0.0,0.0,0.000,0.0,0.3,8.2,3.7,-59.887,0.000,0.000,0.000,0.0,00:00:00,0.4,23.2,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.17,1,34,99,1,00H:00M:01S,1,-4.27,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:07,02:29:07,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.01,0.00,--.--,0.00,0.33,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802485,108.2616680,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.3,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.06,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:08.975,-1.7,-1.5,262,-0.0,-0.0,0.0,0.0,0.0,0.000,-0.0,0.3,8.2,3.7,-59.894,0.000,0.000,0.000,0.0,00:00:00,0.4,20.9,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.17,1,34,99,1,00H:00M:01S,1,-4.27,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:08,02:29:08,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.01,0.00,--.--,0.00,0.33,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802483,108.2616681,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,0.3,2.0,-0.0,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.06,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:09.975,-1.7,-1.5,262,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,0.3,8.2,3.7,-59.905,0.000,0.000,0.000,0.0,00:00:00,0.4,20.7,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.17,1,34,99,1,00H:00M:01S,1,-4.27,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:09,02:29:09,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.01,0.00,--.--,0.00,0.33,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802482,108.2616682,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.5,0.4,2.1,-0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.13,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2024-07-16 09:29:10.976,-1.7,-1.5,262,0.0,-0.1,-0.0,0.0,0.0,0.000,-0.0,0.3,8.2,3.7,-59.927,0.000,0.000,0.000,0.0,00:00:00,0.4,18.6,1,--.--,0,--.--,--.--,0,0,0003:00:46,0,1,1,25.14,-0.17,1,34,99,1,00H:00M:01S,1,-4.27,1,1,1,25.13,0.17,8,--.--,99,--.--,--:--:--,1,4.27,09:29:10,02:29:10,16/07/2024,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.01,0.00,--.--,0.00,0.33,0.33,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,15.9802481,108.2616683,49PBT 06897 68679,0.8,1.6,0.0,3,12,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.5,0.4,2.1,-0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,262.3,5.3,4.5,0.1,34.13,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
